threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.6,0.2602040816326531,-0.6964285714285714,0.0,24h
0.61,0.25824175824175827,-0.73992673992674,0.0,24h
0.62,0.2561761546723953,-0.7857142857142858,0.0,24h
0.63,0.2539988968560397,-0.8339768339768341,0.0,24h
0.64,0.25170068027210885,-0.8849206349206351,0.0,24h
0.65,0.24927113702623907,-0.9387755102040818,0.0,24h
0.66,0.25660264105642255,-0.9957983193277313,0.0,24h
0.67,0.25432900432900435,-1.0562770562770567,0.0,24h
0.68,0.25191326530612246,-1.1205357142857146,0.0,24h
0.6900000000000001,0.24934167215273206,-1.188940092165899,0.0,24h
0.7000000000000001,0.2465986394557823,-1.2619047619047625,0.0,24h
0.7100000000000001,0.24366643209007738,-1.3399014778325131,0.0,24h
0.72,0.24052478134110788,-1.4234693877551021,0.0,24h
0.73,0.2371504157218443,-1.5132275132275133,0.0,24h
0.74,0.22841444270015698,-1.6098901098901097,0.0,24h
0.75,0.23979591836734693,-1.7142857142857142,0.0,24h
0.76,0.23639455782312924,-1.8273809523809528,0.0,24h
0.77,0.2326974267968057,-1.9503105590062118,0.0,24h
0.78,0.2235621521335807,-2.0844155844155847,0.0,24h
0.79,0.2140427599611273,-2.2312925170068034,0.0,24h
0.8,0.20918367346938774,-2.3928571428571437,0.0,24h
0.81,0.203813104189044,-2.5714285714285725,0.0,24h
0.8200000000000001,0.19274376417233557,-2.769841269841271,0.0,24h
0.8300000000000001,0.18607442977190872,-2.9915966386554635,0.0,24h
0.8400000000000001,0.1785714285714285,-3.2410714285714306,0.0,24h
0.85,0.17006802721088438,-3.5238095238095233,0.0,24h
0.86,0.15014577259475217,-3.846938775510204,0.0,24h
0.87,0.1287284144427002,-4.21978021978022,0.0,24h
0.88,0.11564625850340138,-4.654761904761906,0.0,24h
0.89,0.13126159554730982,-5.16883116883117,0.0,24h
0.9,0.10204081632653056,-5.785714285714288,0.0,24h
0.91,0.0799319727891156,-6.539682539682543,0.0,24h
0.92,0.033163265306122375,-7.482142857142862,0.0,24h
0.93,-0.019679300291545326,-8.693877551020416,0.0,24h
0.9400000000000001,-0.08163265306122472,-10.30952380952382,0.0,24h
0.9500000000000001,-0.06632653061224517,-12.571428571428589,0.0,24h
0.9600000000000001,-0.030612244897959398,-15.964285714285745,0.0,24h
0.97,-0.13435374149659848,-21.6190476190476,0.0,24h
0.98,0.0,-32.9285714285714,0.0,24h
0.01,0.3967993184860655,0.39150541560180113,0.0,48h
0.02,0.39660683550528647,0.38529628718957465,0.0,48h
0.03,0.39609986337100983,0.37895913551111665,0.0,48h
0.04,0.39558232931726905,0.37248995983935745,0.0,48h
0.05,0.3953709575142676,0.3658845909955612,0.0,48h
0.060000000000000005,0.395283260702384,0.359138682389131,0.0,48h
0.06999999999999999,0.39486980178779635,0.35224770047933673,0.0,48h
0.08,0.39497118910424306,0.34520691461498165,0.0,48h
0.09,0.39461141268370187,0.33801138620415727,0.0,48h
0.09999999999999999,0.39424364123159306,0.33065595716198126,0.0,48h
0.11,0.39386760525247055,0.3231352375795316,0.0,48h
0.12,0.3934830230010953,0.3154435925520263,0.0,48h
0.13,0.39308959977842406,0.3075751280986013,0.0,48h
0.14,0.39268702717848136,0.29952367609974784,0.0,48h
0.15000000000000002,0.3922749822820695,0.29128277817150955,0.0,48h
0.16,0.3918531267928858,0.2828456683878371,0.0,48h
0.17,0.39142110611119174,0.2742052547539556,0.0,48h
0.18000000000000002,0.39097854833970025,0.2653540993241258,0.0,48h
0.19,0.39052506321582625,0.25628439684664583,0.0,48h
0.2,0.39006024096385544,0.24698795180722893,0.0,48h
0.21000000000000002,0.389583651059936,0.23745615372883944,0.0,48h
0.22,0.3890948409020698,0.22767995057151688,0.0,48h
0.23,0.38256923799092474,0.21764982005945863,0.0,48h
0.24000000000000002,0.38205453392517436,0.2073557387444515,0.0,48h
0.25,0.38152610441767065,0.19678714859437754,0.0,48h
0.26,0.3809833930315858,0.18593292087267993,0.0,48h
0.27,0.38042581284040267,0.174781317049018,0.0,48h
0.28,0.37985274431057564,0.16331994645247658,0.0,48h
0.29000000000000004,0.37926353300526044,0.1515357203461734,0.0,48h
0.3,0.378657487091222,0.13941480206540452,0.0,48h
0.31,0.37803387462895055,0.12694255281997557,0.0,48h
0.32,0.37739192062367116,0.11410347271438698,0.0,48h
0.33,0.376730803812264,0.10088113648624347,0.0,48h
0.34,0.37604965315808686,0.08725812340270167,0.0,48h
0.35000000000000003,0.3753475440222428,0.07321594068582016,0.0,48h
0.36000000000000004,0.3746234939759036,0.0587349397590361,0.0,48h
